,movie_id,release_date,title,tags
0,19995,2009-12-10,Avatar,"Action Adventure Fantasy ScienceFiction SamWorthington cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DuneEntertainment LightstormEntertainment UnitedStatesofAmerica UnitedKingdom JamesCameronIn the 22nd century , a paraplegic Marine is dispatched to the moon Pandora on a unique mission , but becomes torn between following order and protecting an alien civilization ."
1,285,2007-05-19,Pirates of the Caribbean: At World's End,"Adventure Fantasy Action JohnnyDepp ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions UnitedStatesofAmerica GoreVerbinski PamelaAlch SharronReynolds KarenGoldenCaptain Barbossa , long believed to be dead , ha come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann . But nothing is quite a it seems ."
2,206647,2015-10-26,Spectre,"Action Adventure Crime DanielCraig spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom ColumbiaPictures Danjaq B24 UnitedKingdom UnitedStatesofAmerica SamMendes Jayne-AnnTenggren NicolettaMani SusieJonesA cryptic message from Bond ’ s past sends him on a trail to uncover a sinister organization . While M battle political force to keep the secret service alive , Bond peel back the layer of deceit to reveal the terrible truth behind SPECTRE ."
3,49026,2012-07-16,The Dark Knight Rises,"Action Crime Drama Thriller ChristianBale dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman LegendaryPictures WarnerBros . DCEntertainment Syncopy UnitedStatesofAmerica ChristopherNolan SteveGehrke MatthewReedy SidKarne NiloOteroFollowing the death of District Attorney Harvey Dent , Batman assumes responsibility for Dent 's crime to protect the late attorney 's reputation and is subsequently hunted by the Gotham City Police Department . Eight year later , Batman encounter the mysterious Selina Kyle and the villainous Bane , a new terrorist leader who overwhelms Gotham 's finest . The Dark Knight resurfaces to protect a city that ha branded him an enemy ."
4,49529,2012-03-07,John Carter,"Action Adventure ScienceFiction TaylorKitsch basedonnovel mar medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d WaltDisneyPictures UnitedStatesofAmerica AndrewStanton AnniePenn TommyGormley BenDixon AndrewM.WardJohn Carter is a war-weary , former military captain who 's inexplicably transported to the mysterious and exotic planet of Barsoom ( Mars ) and reluctantly becomes embroiled in an epic conflict . It 's a world on the brink of collapse , and Carter rediscovers his humanity when he realizes the survival of Barsoom and it people rest in his hand ."
5,559,2007-05-01,Spider-Man 3,"Fantasy Action Adventure TobeyMaguire dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge ColumbiaPictures LauraZiskinProductions MarvelEnterprises UnitedStatesofAmerica SamRaimi TrudyRamirezThe seemingly invincible Spider-Man go up against an all-new crop of villain – including the shape-shifting Sandman . While Spider-Man ’ s superpower are altered by an alien organism , his alter ego , Peter Parker , deal with nemesis Eddie Brock and also get caught up in a love triangle ."
6,38757,2010-11-24,Tangled,"Animation Family ZacharyLevi hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick WaltDisneyPictures WaltDisneyAnimationStudios UnitedStatesofAmerica ByronHoward NathanGreno RickMoore MerrickRustia DougWalker BrianKesinger DanielHu JohnMurrah ScottBeattie CoryRoccoFlorimonte AllenBlaisdell RobDressel ToddAllenErickson TerryMoews ChristopherK.Poplin WallySchaab RichardTurner DavidWainstainWhen the kingdom 's most wanted-and most charming-bandit Flynn Rider hide out in a mysterious tower , he 's taken hostage by Rapunzel , a beautiful and feisty tower-bound teen with 70 foot of magical , golden hair . Flynn 's curious captor , who 's looking for her ticket out of the tower where she 's been locked away for year , strike a deal with the handsome thief and the unlikely duo set off on an action-packed escapade , complete with a super-cop horse , an over-protective chameleon and a gruff gang of pub thug ."
7,99861,2015-04-22,Avengers: Age of Ultron,"Action Adventure ScienceFiction RobertDowneyJr . marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d MarvelStudios PrimeFocus RevolutionSunStudios UnitedStatesofAmerica JossWhedonWhen Tony Stark try to jumpstart a dormant peacekeeping program , thing go awry and Earth ’ s Mightiest Heroes are put to the ultimate test a the fate of the planet hang in the balance . As the villainous Ultron emerges , it is up to The Avengers to stop him from enacting his terrible plan , and soon uneasy alliance and unexpected action pave the way for an epic and unique global adventure ."
8,767,2009-07-07,Harry Potter and the Half-Blood Prince,"Adventure Fantasy Family DanielRadcliffe witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf WarnerBros . HeydayFilms UnitedKingdom UnitedStatesofAmerica DavidYates AnnaWorleyAs Harry begin his sixth year at Hogwarts , he discovers an old book marked a 'Property of the Half-Blood Prince ' , and begin to learn more about Lord Voldemort 's dark past ."
9,209112,2016-03-23,Batman v Superman: Dawn of Justice,"Action Adventure Fantasy BenAffleck dccomics vigilante superhero basedoncomicbook revenge superpower clarkkent brucewayne dcextendeduniverse DCComics AtlasEntertainment WarnerBros . DCEntertainment Cruel & UnusualFilms RatPac-DuneEntertainment UnitedStatesofAmerica ZackSnyder KimiWebber AmberHarleyFearing the action of a god-like Super Hero left unchecked , Gotham City ’ s own formidable , forceful vigilante take on Metropolis ’ s most revered , modern-day savior , while the world wrestle with what sort of hero it really need . And with Batman and Superman at war with one another , a new threat quickly arises , putting mankind in greater danger than it ’ s ever known before ."
10,1452,2006-06-28,Superman Returns,"Adventure Fantasy Action ScienceFiction BrandonRouth savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpower superhumanstrength lexluthor DCComics LegendaryPictures WarnerBros . BadHatHarryProductions UnitedStatesofAmerica BryanSingerSuperman return to discover his 5-year absence ha allowed Lex Luthor to walk free , and that those he wa closest too felt abandoned and have moved on . Luthor plot his ultimate revenge that could see million killed and change the face of the planet forever , a well a ridding himself of the Man of Steel ."
11,10764,2008-10-30,Quantum of Solace,"Adventure Action Thriller Crime DanielCraig killing undercover secretagent britishsecretservice EonProductions UnitedKingdom UnitedStatesofAmerica MarcForsterQuantum of Solace continues the adventure of James Bond after Casino Royale . Betrayed by Vesper , the woman he loved , 007 fight the urge to make his latest mission personal . Pursuing his determination to uncover the truth , Bond and M interrogate Mr. White , who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined ."
12,58,2006-06-20,Pirates of the Caribbean: Dead Man's Chest,"Adventure Fantasy Action JohnnyDepp witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions Jamaica UnitedStatesofAmerica Bahamas Dominica GoreVerbinskiCaptain Jack Sparrow work his way out of a blood debt with the ghostly Davey Jones , he also attempt to avoid eternal damnation ."
13,57201,2013-07-03,The Lone Ranger,"Action Adventure Western JohnnyDepp texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto WaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductions ( II ) BlindWinkProductions ClassicMedia UnitedStatesofAmerica GoreVerbinskiThe Texas Rangers chase down a gang of outlaw led by Butch Cavendish , but the gang ambush the Rangers , seemingly killing them all . One survivor is found , however , by an American Indian named Tonto , who nurse him back to health . The Ranger , donning a mask and riding a white stallion named Silver , team up with Tonto to bring the unscrupulous gang and others of that ilk to justice ."
14,49521,2013-06-12,Man of Steel,"Action Adventure Fantasy ScienceFiction HenryCavill savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpower dcextendeduniverse LegendaryPictures WarnerBros . DCEntertainment Syncopy CruelandUnusualFilms UnitedKingdom UnitedStatesofAmerica ZackSnyderA young boy learns that he ha extraordinary power and is not of this earth . As a young man , he journey to discover where he came from and what he wa sent here to do . But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind ."
15,2454,2008-05-15,The Chronicles of Narnia: Prince Caspian,"Adventure Family Fantasy BenBarnes basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld WaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudios CzechRepublic Poland Slovenia UnitedStatesofAmerica AndrewAdamson JakubDvorak AlexaAldenOne year after their incredible adventure in the Lion , the Witch and the Wardrobe , Peter , Edmund , Lucy and Susan Pevensie return to Narnia to aid a young prince whose life ha been threatened by the evil King Miraz . Now , with the help of a colorful cast of new character , including Trufflehunter the badger and Nikabrik the dwarf , the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to it rightful heir ."
16,24428,2012-04-25,The Avengers,"ScienceFiction Action Adventure RobertDowneyJr . newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse ParamountPictures MarvelStudios UnitedStatesofAmerica JossWhedon TrudyRamirezWhen an unexpected enemy emerges and threatens global safety and security , Nick Fury , director of the international peacekeeping agency known a S.H.I.E.L.D. , find himself in need of a team to pull the world back from the brink of disaster . Spanning the globe , a daring recruitment effort begin !"
17,1865,2011-05-14,Pirates of the Caribbean: On Stranger Tides,"Adventure Action Fantasy JohnnyDepp sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d WaltDisneyPictures JerryBruckheimerFilms MovingPictureCompany ( MPC ) UnitedStatesofAmerica RobMarshall KerryLynMcKissickCaptain Jack Sparrow cross path with a woman from his past , and he 's not sure if it 's love -- or if she 's a ruthless con artist who 's using him to find the fabled Fountain of Youth . When she force him aboard the Queen Anne 's Revenge , the ship of the formidable pirate Blackbeard , Jack find himself on an unexpected adventure in which he doe n't know who to fear more : Blackbeard or the woman from his past ."
